,id,filename,topic,iteration,buf_size
35099,uark8675aesirpresence22_87627_917483000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence22,8,192
35100,uark8675aesirpresence15_87627_932800500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence15,8,192
35101,uark8675aesirpresence12_87628_72834100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35102,uark8675aesirpresence11_87628_321340600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35103,uark8675aesirpresence11_87629_329876900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35104,uark8675aesirpresence54_87629_870702300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence54,8,192
35105,uark8675aesirpresence32_87629_886331900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence32,8,192
35106,uark8675aesirpresence43_87629_901837800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence43,8,192
35107,uark8675aesirpresence24_87629_902202100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence24,8,192
35108,uark8675aesirpresence23_87629_902389100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence23,8,192
35109,uark8675aesirpresence21_87629_932527200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence21,8,192
35110,uark8675aesirpresence13_87629_994282200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35111,uark8675aesirpresence14_87629_994762400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35112,uark8675aesirpresence12_87630_86284100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35113,uark8675aesirpresence11_87630_335535500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35114,uark8675aesirpresence11_87631_347899500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35115,uark8675aesirpresence12_87632_97400600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35116,uark8675aesirpresence11_87632_361776300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35117,uark8675aesirpresence55_87632_877332600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence55,8,192
35118,uark8675aesirpresence35_87632_892930500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence35,8,192
35119,uark8675aesirpresence15_87632_939509300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence15,8,192
35120,uark8675aesirpresence13_87633_1482600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35121,uark8675aesirpresence11_87633_374970600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35122,uark8675aesirpresence44_87633_893227000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence44,8,192
